Id,Date,Satellite,Sensor,Cascading output,Path
True,2018-10-30T09:51:00,Sentinel 2,MSI,Thermal anomalies,20190403T095029_20190403T095557_T33SVB.jpg
True,2018-11-06T09:42:00,Sentinel 2,MSI,Thermal anomalies,20221230T094319_20221230T094318_T33SVB.jpg
True,2018-11-09T09:52:00,Sentinel 2,MSI,Thermal anomalies,20221014T094859_20221014T095900_T33SVB.jpg
True,2018-11-11T09:42:00,Sentinel 2,MSI,Thermal anomalies,20190108T095401_20190108T095357_T33SVB.jpg
True,2018-11-14T09:52:00,Sentinel 2,MSI,Thermal anomalies,20171027T094059_20171027T094531_T33SVB.jpg
True,2018-11-21T09:43:00,Sentinel 2,MSI,Thermal anomalies,20181104T095159_20181104T095233_T33SVB.jpg
True,2018-11-24T09:53:00,Sentinel 2,MSI,Thermal anomalies,20191104T095201_20191104T095353_T33SVB.jpg
True,2018-11-26T09:43:00,Sentinel 2,MSI,Lava Flows,20200118T095229_20200118T095554_T33SVB.jpg
True,2018-11-29T09:53:00,Sentinel 2,MSI,Lava Flows,20200417T095029_20200417T095907_T33SVB.jpg
True,2018-12-04T09:53:00,Sentinel 2,MSI,Lava Flows,20190120T094319_20190120T094811_T33SVB.jpg
True,2018-12-06T09:43:00,Sentinel 2,MSI,Lava Flows,20191219T095319_20191219T095346_T33SVB.jpg
True,2018-12-09T09:54:00,Sentinel 2,MSI,Thermal anomalies,20170627T095031_20170627T095631_T33SVB.jpg
True,2018-12-11T09:43:00,Sentinel 2,MSI,Thermal anomalies,20220711T095041_20220711T095042_T33SVB.jpg
True,2018-12-14T09:54:00,Sentinel 2,MSI,Thermal anomalies,20170714T094031_20170714T094230_T33SVB.jpg
True,2018-12-16T09:44:00,Sentinel 2,MSI,Thermal anomalies,20180930T095031_20180930T095915_T33SVB.jpg
True,2018-12-19T09:54:00,Sentinel 2,MSI,Lava Flows,20181224T095419_20181224T095419_T33SVB.jpg
True,2018-12-21T09:44:00,Sentinel 2,MSI,Lava Flows,20220412T095031_20220412T095358_T33SVB.jpg
True,2018-12-24T09:54:00,Sentinel 2,MSI,Lava Flows,20210502T095029_20210502T095025_T33SVB.jpg
True,2018-12-26T09:44:00,Sentinel 2,MSI,Thermal anomalies,20200616T095029_20200616T095944_T33SVB.jpg
True,2018-12-29T09:54:00,Sentinel 2,MSI,Thermal anomalies,20180811T095031_20180811T095612_T33SVB.jpg
True,2019-01-08T09:54:00,Sentinel 2,MSI,No activity,20180428T095029_20180428T095759_T33SVB.jpg
